Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","450","Madagascar","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1664.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","454","Malawi","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1703.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","458","Malaysia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","32735.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","462","Maldives","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","21393.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","466","Mali","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2413","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","470","Malta","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","55727.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","584","Marshall Islands","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","6625.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","478","Mauritania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","6207.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","480","Mauritius","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","24831.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","484","Mexico","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","21809.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","583","Micronesia (Federated States of)","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","3601.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","496","Mongolia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","15469.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","499","Montenegro","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","26166","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","504","Morocco","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","8599.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","508","Mozambique","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1462.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","104","Myanmar","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5308.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","516","Namibia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","11474.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","520","Nauru","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","12164.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","524","Nepal","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","4632.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","528","Netherlands (Kingdom of the)","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","69953.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","554","New Zealand","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","49816.1","X","Figure from international organizations",""
